artists,year,song_id,popularity
"Justin Bieber', 'Post Malone', 'Clever",2020,2ZlCGeK30BLRNSPC832pNZ,80
"The Kid LAROI",2020,2ImaJZH7XqxrzbQZpYDmol,79
OneRepublic,2020,2K0r5GD5zYlEMx2M7ZMcqG,79
"Lauv', 'BTS",2020,2qG81jL9UIP54uS8gYyP4k,79
"Lil Tjay', 'Fivio Foreign', 'Pop Smoke",2020,3Ddny34bFoYBb8dIGq5lwp,79
XXXTENTACION,2020,4aOOExMBUyxKnEYb39SrTg,79
"Polo G', 'Stunna 4 Vegas', 'NLE Choppa', 'Mike WiLL Made-It",2020,4PklAHGXT5ityno3IA8SKd,79
blackbear,2020,4yJiXq86uM56uIfIZgE440,79
"Zoe Wees",2020,50Td3qilgs8BLtv8mHyT1t,79
"Future', 'Drake', 'Young Thug",2020,5fHrHoJKfCgBd35zwIBmUK,79
"Camilo', 'Christian Nodal",2020,63Zaf8Rci6eOUPqDQ4fUFx,79
"Morgan Wallen",2020,6FniJZn4agmDtPx1pKZQsa,79
"Joyner Lucas', 'Will Smith",2020,6WI33r2QRxyxttn3KH0XkC,79
"Imanbek', 'Martin Jensen",2020,73ThEGwF5i9GrsXXGyZBRa,79
"Future', 'YoungBoy Never Broke Again",2020,740kQ8xwSGloumdiKR5Cwz,79
"Drake', 'Fivio Foreign', 'Sosa Geek",2020,05aZ9sAU1YXndHv0FMi9iW,79
"Conkarah', 'Shaggy', 'DJ Fle",2020,0dZpw3h6KZhcHec61qwevZ,79
"Don Toliver",2020,0Li1OuXXfi7950ilZUFGkF,79
"Lil Skies', 'Lil Durk",2020,0oH0OIeKJSAT5bdFkbz20A,79
BTS,2020,0ono6UCNVZ1XqOm6j78Blu,79
"DaBaby', 'YoungBoy Never Broke Again",2020,0oT9ElXYSxvnOOagP9efDq,79
"Martin Garrix', 'John Martin",2020,0rohJsT6NWsThpukt0Xxdc,79
"Ali Gatie",2020,0xEW9gPv5wNuS84pXGG3lc,79
"Rauw Alejandro', 'Myke Towers', 'Sky Rompiendo",2020,10u2iOS0r6plfb9GknD7g4,79
"Carly Pearce', 'Lee Brice",2020,0Al3wN3keprGTSgG8NBwjr,78
"Lil Yachty', 'Tierra Whack', 'A$AP Rocky', 'Tyler, The Creator",2020,0gO3E51A3fqp0ypJ26QbVP,78
"Lil Skies",2020,3U3STxSn8EgiwtbgG7g6k1,78
"Bad Bunny', 'Anuel AA",2020,4saHEjXw7O1NXJOzBkUKKG,78
"Gunna', 'Travis Scott",2020,4YhJ3a6kBPGJWX4Ek77sDd,78
"Bad Bunny', 'Mora",2020,5J7teKIJGtqVypgYI6sqXj,78
"Tyla Yaweh', 'Post Malone",2020,5QZKcQDp0tCcvMdyqEciBV,78
"Pop Smoke', 'Gunna",2020,5R9k9x85lAYbamdUoKAJvj,78
"Kygo', 'OneRepublic",2020,1sgDyuLooyvEML4oHspNza,78
"Bad Bunny', 'Duki', 'Pablo Chill-E",2020,1V8XneTrX6kKeoxYbk4x6h,78
"Rvssian', 'Anuel AA', 'Juice WRLD",2020,2AuWgceaQyfMoI3EGavwGb,78
YG,2020,2RBsmtiaD90yNFtqkFjBVW,78
"Lenny Tavárez', 'Justin Quiles",2020,2w8SKQCnT2YQK1qCqKl2uW,78
V,2020,39EXZNMxb4RBHlRjnRaOKp,78
"Lady Gaga",2020,3CGZ7wfk4skmuyQgua1C1K,78
"Little Mix",2020,3fEoJxnPpfIHwFHKiFtqbA,78
"K-391', 'Alan Walker', 'Ahrix",2020,67O8CWXxPsfz8orZVGMQwf,78
"Myke Towers', 'Maluma', 'Farruko",2020,70zg99pT51vB4wlMS7e4q7,78
"Drake', 'Future",2020,7eYAHC0RbBF9eaqWzT34Aq,78
BAEKHYUN,2020,6kKC35sKUh2FUx4M0qAL44,77
"Rvssian', 'Lil Mosey', 'Lil Tjay",2020,6UHfW9PmGAUjIVeIkPzPQ2,77
"Nicki Minaj",2020,75dLEqanQTupF3dtP9exT5,77
"Bad Bunny', 'Nengo Flow",2020,53v2u51nq3CxiKUNphRzP1,77
"Lil Uzi Vert', '21 Savage",2020,59JWp4PjZ9TRM8cmtaDYB1,77
"R3HAB', 'GATTÜSO",2020,5LRxdeykOfvKb1aWGrrGyo,77
"Diplo', 'Morgan Wallen",2020,5mTL8ZHcB2LJdlrR78xJYr,77
"Tyga', 'Curtis Roach",2020,5OxveXfvga2t0se21d96Ow,77
"Future', 'Lil Uzi Vert",2020,021lWIHJrURZrmvYQ1xcM8,77
"Kehlani', 'Tory Lanez",2020,0uDdI4fAXCuNhQbmxENdsO,77
"["Olivia O'Brien"]",2020,0UhKDHeZw2kHOz9HiRNFBH,77
"Russ', 'BIA",2020,0xKBkLcF71uUQeTA7FSu4A,77
"NOTD', 'Astrid S",2020,0ZXdzaT1k688dkpNeEgQiV,77
"Lee Brice",2020,14GwnOeC9qYEKEA6uOZepa,77
"Dalex', 'Sech",2020,1mF6sMUsRU9MisrdB9qWvg,77
Khalid,2020,1ToprX3cpBiXoAe5eNSk74,77
"Bad Bunny', 'Gabriela",2020,2DhNdoHxavs7Qtf5MnhZD0,77
"TOMORROW X TOGETHER",2020,2qI0Uchpdc2RkzuhbRnnZ8,77
"The Kid LAROI', 'Juice WRLD",2020,2t7D3y0jvYjR8IP9Bosyew,77
"Luke Combs",2020,3aMUiKCIXJeurR5ppEMJZD,77
"Jawsh 685",2020,3BJiF37kmX4HCfYSO7qBnQ,77
LANY,2020,3c7peg169veVaJRzlbCaKw,77
"J Balvin', 'Sky Rompiendo",2020,3HTbI3yUJQw3fP0Po8qLcD,77
"KSI', 'Swarmz', 'Tion Wayne",2020,3lay6f81Lhy0qp2Uvp4cNJ,77
"PARTYNEXTDOOR', 'Drake",2020,3LnJM1B5Mjgx5LfT9plXUU,77
"Kygo', 'Avicii', 'Sandro Cavazza",2020,3o1CUVeHIid49sabk6A6Nf,77
Tiagz,2020,1UxYmRBBJMMuzYcK9miSYs,76
"Christian Nodal",2020,1yXOIdoYQiLMDzx9UHwD29,76
"Natti Natasha', 'Nicky Jam', 'Manuel Turizo', 'Myke Towers', 'DJ Luian', 'Mambo Kingz",2020,203uubEQA07to1kbro35qQ,76
"Sam Feldt', 'Ella Henderson",2020,24aN8j7dBw0FxxKUBlCtd6,76
"Polo G', 'Mustard",2020,2iP3unJbxZvRuqyrS0ocZy,76
"Sebastian Yatra', 'Rauw Alejandro', 'Manuel Turizo', 'Cosculluela', 'Lalo Ebratt', 'Llane', 'Dalmata",2020,2SdwRMzLw1vKClRinPqtuU,76
"Natanael Cano', 'Ovi",2020,2yFQXRSMJgaixzpP6gn8jr,76
"BTS', 'Sia",2020,3IB5qOeMayvpOdHxYCL5tZ,76
