artists,song_id,year,avg_popularity
"Ed Sheeran', 'Justin Bieber",3HVWdVOQ0ZA45FuZGSfvns,2019,85.0000
"Lewis Capaldi",4Of7rzpRpV1mWRbhp5rAqG,2019,85.0000
"Natalie Taylor",0ecC8p17cDNlxHXkuYqeR6,2019,85.0000
"J Balvin', 'Bad Bunny",0fea68AdmYNygeTGI4RC18,2019,85.0000
"MEDUZA', 'Goodboys",1DFD5Fotzgn6yYXkYsKiGs,2019,85.0000
PUBLIC,5iFwAOB2TFkPJk8sMlxP8g,2019,85.0000
"Drake', 'Rick Ross",5ry2OE6R2zPQFDO85XkgRb,2019,85.0000
"Jonas Brothers",22vgEDb5hykfaTwLuskFGD,2019,85.0000
"Anuel AA', 'Daddy Yankee', 'KAROL G', 'J Balvin', 'Ozuna",2ksOAxtIxY8yElEWw8RhgK,2019,85.0000
"Bad Bunny', 'Tainy",2TH65lNHgvLxCKXM3apjxI,2019,85.0000
"Rauw Alejandro', 'Farruko",6mAN61JH0dzyZpWslS11jy,2019,85.0000
"Kygo', 'Whitney Houston",6oJ6le65B3SEqPwMRNXWjY,2019,85.0000
"Sam Smith', 'Normani",6Qs4SXO9dwPj5GKvVOv8Ki,2019,85.0000
"Rauw Alejandro', 'Chencho Corleone', 'KEVVO', 'Bryant Myers', 'Lyanno', 'Dalex",74j34STf8L6uADnTN69ohv,2019,85.0000
"Post Malone",7dt6x5M1jzdTEt8oCbisTK,2018,85.0000
"Juice WRLD",4VXIryQMWpIdGgYR4TrjT1,2018,85.0000
XXXTENTACION,0JP9xo3adEtGSdUEISiszL,2018,85.0000
"Kina', 'Snøw",4ZLzoOkj0MPWrTLvooIuaa,2018,85.0000
"Ava Max",25sgk305KZfyuqVBQIahim,2018,85.0000
"Travis Scott",2cYqizR4lgvp4Qu6IQ3qGN,2018,85.0000
Lauv,2P91MQbaiQOfbiz9VqhqKQ,2018,85.0000
"Alec Benjamin",2qxmye6gAegTMjLKEBoR3d,2018,85.0000
"Ed Sheeran",7qiZfU4dY1lWllzX7mPBI3,2017,85.0000
"Tame Impala",6K4t31amVTZDgR3sKmwUJJ,2015,85.0000
"John Legend",3U4isOIWM3VvDubwSI3y7a,2013,85.0000
"J Balvin",380HmhwTE2NJgawn1NwkXi,2020,84.0000
"G Herbo', 'Juice WRLD', 'Lil Uzi Vert', 'Chance the Rapper",3jT2LKH0RSbQ8jIUNFzXm5,2020,84.0000
"J Balvin",3mQ6SLdxxaL52Yte7KF2Ks,2020,84.0000
"Gunna', 'Young Thug",3nS9a01VvXHQriLqJYwRqG,2020,84.0000
"Yandel', 'Bad Bunny",3pm4XtcsRIFFtH2UErk62R,2020,84.0000
"The Weeknd",6bnF93Rx87YqUBLSgjiMU8,2020,84.0000
"Drake', 'Playboi Carti",6Kj17Afjo1OKJYpf5VzCeo,2020,84.0000
"The Weeknd",2p8IUWQDrpjuFltbdgLOag,2020,84.0000
"Chris Brown', 'Young Thug",1IIKrJVP1C9N7iPtG6eOsK,2020,84.0000
"Alexander 23",47EWMOElkkbMp5m9SBkx7d,2020,84.0000
"Future', 'Travis Scott",4kfeRwpq5KUaqTkgi4TbDF,2020,84.0000
"Nicky Jam', 'Daddy Yankee",4VgYtXCVJ7IbWAZ5ryfvEQ,2020,84.0000
"Billie Eilish",73SpzrcaHk0RQPFP73vqVR,2020,84.0000
"Nea', 'Felix Jaehn",7C1trmcQQ5n5RNy4l6ziCv,2020,84.0000
"Lady Gaga",7yBbV2k2S2uhaQc24NF2xt,2020,84.0000
"Rauw Alejandro', 'Anuel AA', 'Natti Natasha', 'Farruko', 'Lunay",0A37XY67wSdGqkGjtfW6aV,2020,84.0000
"NAV', 'Gunna', 'Travis Scott",0lSZh5W0wDeurkGzLYY6hf,2020,84.0000
"IU', 'SUGA",0pYacDCZuRhcrwGUA5nTBe,2020,84.0000
"Alan Walker', 'Ava Max",0bMbDctzMmTyK2j74j3nF3,2019,84.0000
"Harry Styles",1e9oZCCiX42nJl0AcqriVo,2019,84.0000
"YNW Melly",1iSqfoUFnQwV0QW1EfUit8,2019,84.0000
"Tones And I",5ZULALImTm80tzUbYQYM9d,2019,84.0000
"Sam Smith",6b2RcmUt1g9N9mQ3CbjX2Y,2019,84.0000
"Ellie Goulding', 'Juice WRLD",6kls8cSlUyHW2BUOkDJIZE,2019,84.0000
BROCKHAMPTON,6U0FIYXCQ3TGrk4tFpLrEA,2019,84.0000
"The Chainsmokers', 'ILLENIUM', 'Lennon Stella",3g0mEQx3NTanacLseoP0Gw,2019,84.0000
"Lewis Capaldi",2gMXnyrvIjhVBUZwvLZDMP,2019,84.0000
Ashe,2nC3QhMI9reBIOWutbU3Tj,2019,84.0000
"Pop Smoke",79s5XnCN4TJKTVMSmOx8Ep,2019,84.0000
"Katy Perry",5PYQUBXc7NYeI1obMKSJK0,2019,84.0000
"Ed Sheeran', 'Khalid",4evmHXcjt3bTUHD1cvny97,2019,84.0000
"Harry Styles",4jAIqgrPjKLTY9Gbez25Qb,2019,84.0000
"Panic! At The Disco",1rqqCSm0Qe4I9rUvWncaom,2018,84.0000
Joji,0rKtyWc8bvkriBthvHKY8d,2018,84.0000
Drake,6DCZcSspjsKoFjzjrWoCdn,2018,84.0000
"Kina', 'Adriana Proenza",58wyJLv6yH1La9NIZPl3ne,2018,84.0000
Halsey,5p7ujcrUXASCNwRaWNHR1C,2018,84.0000
XXXTENTACION,7AFASza1mXqntmGtbxXprO,2018,84.0000
"Calvin Harris', 'Dua Lipa",7ef4DlsgrMEH11cDZd32M6,2018,84.0000
"Travis Scott",7wBJfHzpfI3032CSD7CE2m,2018,84.0000
"XXXTENTACION', 'Trippie Redd",7AQim7LbvFVZJE3O8TYgf2,2017,84.0000
"Lil Uzi Vert",7GX5flRQZVHRAGd6B4TmDO,2017,84.0000
"Imagine Dragons",1zB4vmk8tFRmM9UULNzbLB,2017,84.0000
"The Chainsmokers', 'Halsey",7BKLCZ1jbUBVqRi2FVlTVw,2016,84.0000
"The Weeknd', 'Daft Punk",7MXVkk9YMctZqd1Srtv4MB,2016,84.0000
"James Arthur",5uCax9HTNlzGybIStD3vDh,2016,84.0000
Avicii,4h8VwCb1MTGoLKueQ1WgbD,2013,84.0000
"Lauv', 'Troye Sivan",4vjpLMyL3ZO6aphdYr8XYw,2020,83.0000
"Reik', 'Farruko', 'Camilo",56Ta1O7Jxxpjnc6cWdDKUo,2020,83.0000
"Anuel AA",5eEQCfq7MXQr6aHLNRUZLs,2020,83.0000
"Dua Lipa",5px6upUHM3fhOP621Edp4V,2020,83.0000
"Bad Bunny', 'Sech",3wYRLYuO1M88d8woWUIxct,2020,83.0000
"G-Eazy', 'Tory Lanez', 'Tyga",0JjM9bKm4wrwohMslcm892,2020,83.0000
"Lil Yachty', 'DaBaby', 'Drake",7wsmIIm0xWmtP7TmACXkJn,2020,83.0000
"Lunay', 'Myke Towers', 'Ozuna', 'Chencho Corleone', 'Rauw Alejandro",2tGENA8xef0wABdHvyXwv9,2020,83.0000
"Shakira', 'Anuel AA",5Xhqh4lwJPtMUTsdBztN1a,2020,83.0000
"Noah Cyrus",6J2LdBN97cDWn0MLxYh9HB,2020,83.0000
"Conan Gray",6KfoDhO4XUWSbnyKjNp9c4,2020,83.0000
"Lady Gaga",6qI0MU175Dk2DeoUjlrOpy,2020,83.0000
"Billie Eilish",6CcJMwBtXByIz4zQLzFkKc,2019,83.0000
"DJ Snake', 'J Balvin', 'Tyga",6osaMSJh9NguagEDQcZaKx,2019,83.0000
"Taylor Swift",6RRNNciQGZEXnqk8SQ9yv5,2019,83.0000
"Polo G', 'Lil Tjay",6uFn47ACjqYkc0jADwEdj1,2019,83.0000
"Lil Peep",30bqVoKjX479ab90a8Pafp,2019,83.0000
"Tainy', 'Anuel AA', 'Ozuna",3jbT1Y5MoPwEIpZndDDwVq,2019,83.0000
Bazzi,4a6q8CR2hzLk2plDkSxkfD,2019,83.0000
"Billie Eilish",4SSnFejRGlZikf02HLewEF,2019,83.0000
"Ed Sheeran', 'Camila Cabello', 'Cardi B",4vUmTMuQqjdnvlZmAH61Qk,2019,83.0000
"Tyler, The Creator",5hVghJ4KaYES3BFUATCYn0,2019,83.0000
"Daddy Yankee', 'Snow",5w9c2J52mkdntKOmRLeM2m,2019,83.0000
"J. Cole",2JvzF1RMd7lE3KmFlsyZD8,2019,83.0000
"The Chainsmokers', 'Bebe Rexha",2oejEp50ZzPuQTQ6v54Evp,2019,83.0000
"Taylor Swift', 'Brendon Urie', 'Panic! At The Disco",2Rk4JlNc2TPmZe2af99d45,2019,83.0000
"Tory Lanez', 'Chris Brown",0Odu228D0yGcFySGuxU4rY,2019,83.0000
"Shawn Mendes', 'Camila Cabello",6v3KW9xbzN5yKLt9YKDYA2,2019,83.0000
"Chris Brown', 'Drake",6XHVuErjQ4XNm6nDPVCxVX,2019,83.0000
"Lil Baby', 'Gunna",78QR3Wp35dqAhFEc2qAGjE,2018,83.0000
"YNW Melly",7eBqSVxrzQZtK2mmgRG6lC,2018,83.0000
"Lil Peep', 'XXXTENTACION",4jvjzW7Hm0yK4LvvE0Paz9,2018,83.0000
"Calum Scott",69vToJ9BMbbLlFZo7k7A7B,2018,83.0000
